,fips,province_state,country_region,confirmed,deaths,recovered,active,date,positive,negative,hospitalizedcurrently,hospitalized,hospitalizeddischarged
0,2.0,,,,,,,20210307,56886,,33.0,1293.0,
1,1.0,,,,,,,20210307,499819,1931711.0,494.0,45976.0,
2,5.0,,,,,,,20210307,324818,2480716.0,335.0,14926.0,
3,60.0,,,,,,,20210307,0,2140.0,,,
4,4.0,,,,,,,20210307,826454,3073010.0,963.0,57907.0,118932.0
5,6.0,,,,,,,20210307,3501394,,4291.0,,
6,8.0,,,,,,,20210307,436602,2199458.0,326.0,23904.0,23003.0
7,9.0,,,,,,,20210307,285330,,428.0,12257.0,
8,11.0,,,,,,,20210307,41419,,150.0,,
9,10.0,,,,,,,20210307,88354,545070.0,104.0,,
10,12.0,,,,,,,20210307,1909209,9339038.0,3307.0,82237.0,
11,13.0,,,,,,,20210307,1023487,,2008.0,56797.0,
12,66.0,,,,,,,20210307,7749,112887.0,2.0,,
13,15.0,,,,,,,20210307,28699,,27.0,2226.0,
14,19.0,,,,,,,20210307,282384,1044418.0,167.0,,
15,16.0,,,,,,,20210307,172931,505964.0,150.0,7184.0,
16,17.0,,,,,,,20210307,1198335,,1141.0,,
17,18.0,,,,,,,20210307,667262,2483156.0,656.0,43217.0,434805.0
18,20.0,,,,,,,20210307,295861,974686.0,235.0,9387.0,6473.0
19,21.0,,,,,,,20210307,410709,,558.0,19457.0,
20,22.0,,,,,,,20210307,433785,5261679.0,532.0,,
21,25.0,,,,,,,20210307,591356,4404792.0,665.0,19713.0,
22,24.0,,,,,,,20210307,387319,3034546.0,818.0,35651.0,
23,23.0,,,,,,,20210307,45794,,67.0,1570.0,
24,26.0,,,,,,,20210307,656072,,866.0,,
25,27.0,,,,,,,20210307,490011,3058514.0,224.0,25978.0,
26,29.0,,,,,,,20210307,480643,1878583.0,955.0,,
27,69.0,,,,,,,20210307,145,17429.0,,4.0,
28,28.0,,,,,,,20210307,297581,1459374.0,419.0,9162.0,
29,30.0,,,,,,,20210307,100914,,63.0,4630.0,
30,37.0,,,,,,,20210307,872176,,1179.0,,819839.0
31,38.0,,,,,,,20210307,100391,305912.0,23.0,3880.0,
32,31.0,,,,,,,20210307,203026,771128.0,137.0,6237.0,
33,33.0,,,,,,,20210307,76861,579582.0,68.0,1131.0,
34,34.0,,,,,,,20210307,812609,10186941.0,1792.0,64396.0,77193.0
35,35.0,,,,,,,20210307,186922,,169.0,13252.0,
36,32.0,,,,,,,20210307,296190,1131758.0,399.0,,
37,36.0,,,,,,,20210307,1681169,,4789.0,89995.0,150100.0
38,39.0,,,,,,,20210307,978471,,820.0,50881.0,
39,40.0,,,,,,,20210307,428997,3146300.0,346.0,24332.0,
40,41.0,,,,,,,20210307,157079,,158.0,8714.0,
41,42.0,,,,,,,20210307,948643,3942124.0,1587.0,,
42,72.0,Puerto Rico,US,14.0,0.0,0.0,,20210307,101327,305972.0,147.0,,
43,72.0,Puerto Rico,US,21.0,1.0,0.0,,20210307,101327,305972.0,147.0,,
44,72.0,Puerto Rico,US,23.0,1.0,0.0,0.0,20210307,101327,305972.0,147.0,,
45,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210307,101327,305972.0,147.0,,
46,72.0,Puerto Rico,US,5.0,0.0,0.0,,20210307,101327,305972.0,147.0,,
47,72.0,Puerto Rico,US,5.0,0.0,0.0,,20210307,101327,305972.0,147.0,,
48,44.0,,,,,,,20210307,128121,674515.0,141.0,9020.0,7865.0
49,45.0,,,,,,,20210307,525865,4657179.0,579.0,20725.0,
50,46.0,,,,,,,20210307,113589,314540.0,72.0,6705.0,
51,47.0,,,,,,,20210307,782206,,851.0,18870.0,
52,48.0,,,,,,,20210307,2686818,,4721.0,,
53,49.0,,,,,,,20210307,374850,1560293.0,212.0,14891.0,
54,51.0,,,,,,,20210307,585700,,1127.0,24661.0,48428.0
55,78.0,,,,,,,20210307,2714,46167.0,,,
56,50.0,,,,,,,20210307,16083,320060.0,31.0,,
57,53.0,,,,,,,20210307,344532,,431.0,19599.0,
58,55.0,,,,,,,20210307,621654,2647864.0,249.0,26457.0,
59,54.0,,,,,,,20210307,133445,,179.0,,
60,56.0,,,,,,,20210307,54764,182264.0,21.0,1391.0,
61,2.0,,,,,,,20210306,56886,,33.0,1293.0,
62,1.0,,,,,,,20210306,499411,1929624.0,526.0,45976.0,
63,5.0,,,,,,,20210306,324653,2477449.0,345.0,14915.0,
64,60.0,,,,,,,20210306,0,2140.0,,,
65,4.0,,,,,,,20210306,825119,3059332.0,966.0,57863.0,118674.0
66,6.0,,,,,,,20210306,3497578,,4513.0,,
67,8.0,,,,,,,20210306,435762,2199458.0,326.0,23886.0,23003.0
68,9.0,,,,,,,20210306,285330,,428.0,12257.0,
69,11.0,,,,,,,20210306,41273,,150.0,,
70,10.0,,,,,,,20210306,88139,544153.0,114.0,,
71,12.0,,,,,,,20210306,1905185,9319872.0,3352.0,82145.0,
72,13.0,,,,,,,20210306,1021778,,2071.0,56762.0,
73,66.0,,,,,,,20210306,7749,112887.0,2.0,,
74,15.0,,,,,,,20210306,28646,,27.0,2226.0,
75,19.0,,,,,,,20210306,282127,1043119.0,170.0,,
76,16.0,,,,,,,20210306,172827,505429.0,150.0,7179.0,
77,17.0,,,,,,,20210306,1197267,,1210.0,,
78,18.0,,,,,,,20210306,666516,2478513.0,663.0,43153.0,434718.0
79,20.0,,,,,,,20210306,295861,974686.0,235.0,9387.0,6473.0
80,21.0,,,,,,,20210306,410184,,591.0,19451.0,
81,22.0,,,,,,,20210306,433045,5241101.0,538.0,,
82,25.0,,,,,,,20210306,589931,4396764.0,687.0,19713.0,
83,24.0,,,,,,,20210306,386610,3032496.0,830.0,35572.0,
84,23.0,,,,,,,20210306,45635,,74.0,1566.0,
85,26.0,,,,,,,20210306,656072,,866.0,,
86,27.0,,,,,,,20210306,489116,3050296.0,224.0,25976.0,
87,29.0,,,,,,,20210306,480352,1875633.0,1001.0,,
88,69.0,,,,,,,20210306,144,17429.0,,4.0,
89,28.0,,,,,,,20210306,297321,1459374.0,419.0,9162.0,
90,30.0,,,,,,,20210306,100842,,63.0,4629.0,
91,37.0,,,,,,,20210306,872176,,1179.0,,819839.0
92,38.0,,,,,,,20210306,100357,306021.0,21.0,3878.0,
93,31.0,,,,,,,20210306,202653,770586.0,136.0,6229.0,
94,33.0,,,,,,,20210306,76695,579186.0,90.0,1127.0,
95,34.0,,,,,,,20210306,810090,10186941.0,1862.0,64338.0,76932.0
96,35.0,,,,,,,20210306,186742,,148.0,13242.0,
97,32.0,,,,,,,20210306,295460,1129929.0,399.0,,
98,36.0,,,,,,,20210306,1674380,,4954.0,89995.0,149481.0
99,39.0,,,,,,,20210306,977736,,922.0,50848.0,
100,40.0,,,,,,,20210306,428536,3146300.0,346.0,24277.0,
101,41.0,,,,,,,20210306,156884,,158.0,8714.0,
102,42.0,,,,,,,20210306,946985,3935532.0,1513.0,,
103,72.0,Puerto Rico,US,14.0,0.0,0.0,,20210306,101327,305972.0,147.0,,
104,72.0,Puerto Rico,US,21.0,1.0,0.0,,20210306,101327,305972.0,147.0,,
105,72.0,Puerto Rico,US,23.0,1.0,0.0,0.0,20210306,101327,305972.0,147.0,,
106,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210306,101327,305972.0,147.0,,
107,72.0,Puerto Rico,US,5.0,0.0,0.0,,20210306,101327,305972.0,147.0,,
108,72.0,Puerto Rico,US,5.0,0.0,0.0,,20210306,101327,305972.0,147.0,,
109,44.0,,,,,,,20210306,128121,674515.0,141.0,9020.0,7865.0
110,45.0,,,,,,,20210306,524457,4631323.0,623.0,20659.0,
111,46.0,,,,,,,20210306,113378,314016.0,74.0,6692.0,
112,47.0,,,,,,,20210306,782206,,879.0,18870.0,
113,48.0,,,,,,,20210306,2683865,,4921.0,,
114,49.0,,,,,,,20210306,374438,1557089.0,216.0,14867.0,
115,51.0,,,,,,,20210306,584537,,1164.0,24637.0,48386.0
116,78.0,,,,,,,20210306,2714,46167.0,,,
117,50.0,,,,,,,20210306,15964,319417.0,26.0,,
118,53.0,,,,,,,20210306,343868,,431.0,19556.0,
119,55.0,,,,,,,20210306,621277,2644343.0,260.0,26432.0,
120,54.0,,,,,,,20210306,133290,,196.0,,
121,56.0,,,,,,,20210306,54764,182264.0,21.0,1391.0,
122,2.0,,,,,,,20210305,56886,,33.0,1293.0,
123,1.0,,,,,,,20210305,498887,1924758.0,526.0,45976.0,
124,5.0,,,,,,,20210305,324326,2472738.0,359.0,14903.0,
125,60.0,,,,,,,20210305,0,2140.0,,,
126,4.0,,,,,,,20210305,823384,3050890.0,1043.0,57819.0,118391.0
127,6.0,,,,,,,20210305,3493126,,4714.0,,
128,8.0,,,,,,,20210305,434654,2193953.0,356.0,23863.0,22933.0
129,9.0,,,,,,,20210305,285330,,428.0,12257.0,
130,11.0,,,,,,,20210305,41122,,160.0,,
131,10.0,,,,,,,20210305,87874,542791.0,127.0,,
132,12.0,,,,,,,20210305,1900598,9296590.0,3419.0,81902.0,
133,13.0,,,,,,,20210305,1019509,,2099.0,56627.0,
134,66.0,,,,,,,20210305,7748,112887.0,2.0,,
135,15.0,,,,,,,20210305,28561,,28.0,2225.0,
136,19.0,,,,,,,20210305,281765,1041604.0,176.0,,
137,16.0,,,,,,,20210305,172587,504925.0,139.0,7164.0,
138,17.0,,,,,,,20210305,1194702,,1166.0,,
139,18.0,,,,,,,20210305,665285,2473358.0,730.0,43104.0,434018.0
140,20.0,,,,,,,20210305,295861,974686.0,235.0,9387.0,6473.0
141,21.0,,,,,,,20210305,409345,,606.0,19380.0,
142,22.0,,,,,,,20210305,433045,5241101.0,538.0,,
143,25.0,,,,,,,20210305,588209,4388938.0,716.0,19713.0,
144,24.0,,,,,,,20210305,385678,3024949.0,849.0,35378.0,
145,23.0,,,,,,,20210305,45452,,74.0,1560.0,
146,26.0,,,,,,,20210305,654380,,866.0,,
147,27.0,,,,,,,20210305,488170,3043308.0,224.0,25938.0,
148,29.0,,,,,,,20210305,479966,1872325.0,1019.0,,
149,69.0,,,,,,,20210305,144,17429.0,,4.0,
150,28.0,,,,,,,20210305,296745,1459374.0,445.0,9162.0,
151,30.0,,,,,,,20210305,100656,,67.0,4610.0,
152,37.0,,,,,,,20210305,870149,,1226.0,,819839.0
153,38.0,,,,,,,20210305,100278,305910.0,22.0,3875.0,
154,31.0,,,,,,,20210305,202310,769232.0,143.0,6226.0,
155,33.0,,,,,,,20210305,76422,577690.0,90.0,1126.0,
156,34.0,,,,,,,20210305,806370,10186941.0,1881.0,65254.0,76685.0
157,35.0,,,,,,,20210305,186460,,183.0,13229.0,
158,32.0,,,,,,,20210305,295460,1127378.0,393.0,,
159,36.0,,,,,,,20210305,1666733,,5034.0,89995.0,148923.0
160,39.0,,,,,,,20210305,976230,,919.0,50782.0,
161,40.0,,,,,,,20210305,427558,3135060.0,366.0,24157.0,
162,41.0,,,,,,,20210305,156673,,154.0,8699.0,
163,42.0,,,,,,,20210305,944196,3926038.0,1587.0,,
164,72.0,Puerto Rico,US,14.0,0.0,0.0,,20210305,101066,305972.0,136.0,,
165,72.0,Puerto Rico,US,21.0,1.0,0.0,,20210305,101066,305972.0,136.0,,
166,72.0,Puerto Rico,US,23.0,1.0,0.0,0.0,20210305,101066,305972.0,136.0,,
167,72.0,Puerto Rico,US,3.0,0.0,0.0,,20210305,101066,305972.0,136.0,,
168,72.0,Puerto Rico,US,5.0,0.0,0.0,,20210305,101066,305972.0,136.0,,
169,72.0,Puerto Rico,US,5.0,0.0,0.0,,20210305,101066,305972.0,136.0,,
170,44.0,,,,,,,20210305,128121,674515.0,141.0,9020.0,7865.0
171,45.0,,,,,,,20210305,523258,4603549.0,664.0,20605.0,
172,46.0,,,,,,,20210305,113229,313260.0,74.0,6681.0,
173,47.0,,,,,,,20210305,780894,,939.0,18837.0,
174,48.0,,,,,,,20210305,2678295,,5065.0,,
175,49.0,,,,,,,20210305,373868,1553533.0,238.0,14841.0,
176,51.0,,,,,,,20210305,583060,,1222.0,24514.0,47561.0
177,78.0,,,,,,,20210305,2714,46167.0,,,
178,50.0,,,,,,,20210305,15819,318720.0,26.0,,
179,53.0,,,,,,,20210305,343090,,413.0,19500.0,
180,55.0,,,,,,,20210305,620663,2642182.0,260.0,26387.0,
181,54.0,,,,,,,20210305,132964,,200.0,,
